listing_id,host_id,host_name,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,reviews_per_month,availability_rate,total_days_available,occupancy_rate,total_days_booked,calendar_price_mean,calendar_price_median,calendar_price_std,calendar_price_min,calendar_price_max,calendar_date_min,calendar_date_max,calendar_days_total,calendar_price_range,calendar_price_cv,review_count_calc,review_first_date,review_last_date,review_avg_length,days_since_first_review,days_since_last_review,review_span_days,reviews_per_day,amenity_count,has_wifi,has_kitchen,has_washer,has_dryer,has_air_conditioning,has_heating,has_tv,has_parking,host_days_active,price_per_person,reviews_per_available_month,bedroom_bathroom_ratio,review_scores_rating_missing,review_scores_accuracy_missing,review_scores_cleanliness_missing,review_scores_checkin_missing,review_scores_communication_missing,review_scores_location_missing,review_scores_value_missing
241032,956883,Maija,2011-08-11,within a few hours,0.96,1.0,0.0,3.0,3.0,1.0,1.0,West Queen Anne,Queen Anne,47.636289038357184,-122.37102519997764,1,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,""Family/Kid Friendly"",Washer,Dryer}",85.0,,,,,2,5.0,1,365,1,14,41,71,346,207,2011-11-01,2016-01-02,95.0,10.0,10.0,10.0,10.0,9.0,10.0,0,moderate,0,0,2,4.07,0.947945205479452,346,0.052054794520547946,19,85.0,85.0,0.0,85.0,85.0,2016-01-04,2017-01-02,365,0.0,0.0,207.0,2011-11-01,2016-01-02,364.82125603864733,1524.0,1.0,1523.0,0.13582677165354332,10,0,1,1,1,1,1,1,0,1607.0,21.25,3.7935247403787415,0.6666666666666666,0,0,0,0,0,0,0
953595,5177328,Andrea,2013-02-21,within an hour,0.98,1.0,1.0,6.0,6.0,1.0,1.0,West Queen Anne,Queen Anne,47.63912312136253,-122.36566646439582,1,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,"{TV,Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials}",150.0,1000.0,3000.0,100.0,40.0,1,0.0,2,90,1,13,13,16,291,43,2013-08-19,2015-12-29,96.0,10.0,10.0,10.0,10.0,10.0,10.0,0,strict,1,1,6,1.48,0.7972602739726027,291,0.20273972602739726,74,170.93127147766322,171.0,37.225252155397726,125.0,439.0,2016-01-04,2017-01-02,365,314.0,0.21777906309122735,43.0,2013-08-19,2015-12-29,464.4651162790698,867.0,5.0,862.0,0.04982618771726535,16,0,1,1,1,0,1,1,1,1047.0,37.5,1.1977715877437327,0.6666666666666666,0,0,0,0,0,0,0
3308979,16708587,Jill,2014-06-12,within a few hours,0.67,1.0,0.0,2.0,2.0,1.0,1.0,West Queen Anne,Queen Anne,47.62972413157736,-122.3694831756176,1,House,Entire home/apt,11,4.5,5.0,7.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",""Pets live on this property"",Dog(s),Cat(s),""Hot Tub"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo}",975.0,,,1000.0,300.0,10,25.0,4,30,1,1,6,17,220,20,2014-07-30,2015-09-03,97.0,10.0,10.0,10.0,10.0,10.0,10.0,0,strict,0,0,2,1.15,0.6027397260273972,220,0.3972602739726027,145,1301.8181818181818,1450.0,356.3226869035401,500.0,1650.0,2016-01-04,2017-01-02,365,1150.0,0.2737115611689205,20.0,2014-07-30,2015-09-03,408.45,522.0,122.0,400.0,0.04987531172069826,21,0,1,1,1,1,1,1,1,571.0,88.63636363636364,0.9983361064891846,1.0,0,0,0,0,0,0,0
7421966,9851441,Emily,2013-11-06,,,,0.0,1.0,1.0,1.0,1.0,West Queen Anne,Queen Anne,47.638473201766416,-122.36927912263018,1,Apartment,Entire home/apt,3,1.0,0.0,2.0,Real Bed,"{Internet,""Wireless Internet"",Kitchen,""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo}",100.0,650.0,2300.0,,,1,0.0,1,1125,1,0,0,0,143,0,,,,,,,,,,0,flexible,0,0,1,,0.3917808219178082,143,0.6082191780821918,222,100.0,100.0,0.0,100.0,100.0,2016-01-04,2017-01-02,365,0.0,0.0,,,,,,,,,14,0,1,1,1,0,1,0,0,789.0,33.333333333333336,0.0,0.0,1,1,1,1,1,1,1
278830,1452570,Emily,2011-11-29,within an hour,1.0,,0.0,2.0,2.0,1.0,1.0,West Queen Anne,Queen Anne,47.63291840276724,-122.37247063402224,1,House,Entire home/apt,6,2.0,3.0,3.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",450.0,,,700.0,125.0,6,15.0,1,1125,1,30,60,90,365,38,2012-07-10,2015-10-24,92.0,9.0,9.0,10.0,10.0,9.0,9.0,0,strict,0,0,1,0.89,1.0,365,0.0,0,462.73972602739724,450.0,23.703194131016236,450.0,600.0,2016-01-04,2017-01-02,365,150.0,0.05122359892137908,38.0,2012-07-10,2015-10-24,273.13157894736844,1272.0,71.0,1201.0,0.03161397670549085,13,0,1,0,0,0,1,1,0,1497.0,75.0,0.7465618860510805,1.2,0,0,0,0,0,0,0
5956968,326758,Andrew,2010-12-25,,,,0.0,1.0,1.0,1.0,1.0,West Queen Anne,Queen Anne,47.63052548240193,-122.36617406518856,1,House,Private room,2,1.0,1.0,1.0,Real Bed,"{""Wireless Internet"",""Free Parking on Premises"",Heating,""Smoke Detector"",Essentials,Shampoo}",120.0,800.0,,,40.0,1,30.0,1,6,1,0,0,27,302,17,2015-06-11,2015-09-28,95.0,10.0,10.0,10.0,10.0,10.0,10.0,0,strict,0,0,1,2.45,0.8273972602739726,302,0.1726027397260274,63,125.62913907284768,120.0,9.009124864147674,120.0,140.0,2016-01-04,2017-01-02,365,20.0,0.07171206402141797,17.0,2015-06-11,2015-09-28,405.4117647058824,206.0,97.0,109.0,0.15454545454545454,6,0,0,0,0,0,1,0,1,1836.0,60.0,0.2733118971061093,0.6666666666666666,0,0,0,0,0,0,0
1909058,2497928,Gary And Beth,2012-05-30,within an hour,1.0,1.0,1.0,1.0,1.0,1.0,1.0,West Queen Anne,Queen Anne,47.63660544532006,-122.36851905844937,1,House,Private room,2,1.0,1.0,1.0,Real Bed,"{""Wireless Internet"",""Free Parking on Premises"",Heating,""Smoke Detector"",""First Aid Kit"",Essentials,Shampoo}",80.0,575.0,,150.0,,1,10.0,3,14,1,20,49,71,346,58,2014-01-27,2015-12-07,99.0,10.0,10.0,10.0,10.0,10.0,10.0,0,moderate,0,0,1,2.46,0.947945205479452,346,0.052054794520547946,19,80.0,80.0,0.0,80.0,80.0,2016-01-04,2017-01-02,365,0.0,0.0,58.0,2014-01-27,2015-12-07,412.7758620689655,706.0,27.0,679.0,0.08529411764705883,7,0,0,0,0,0,1,0,1,1314.0,40.0,1.2946428571428572,0.6666666666666666,0,0,0,0,0,0,0
856550,4016632,Jean-Marc,2012-10-30,within an hour,1.0,1.0,1.0,5.0,5.0,1.0,1.0,West Queen Anne,Queen Anne,47.64016054121466,-122.37585597885769,1,Cabin,Private room,2,1.0,1.0,1.0,Real Bed,"{""Wireless Internet"",""Pets live on this property"",Dog(s),Heating,""Family/Kid Friendly"",Essentials,Shampoo}",60.0,360.0,,150.0,25.0,1,0.0,2,7,1,22,42,42,100,173,2013-01-03,2016-01-01,97.0,10.0,10.0,10.0,10.0,9.0,10.0,0,strict,1,1,5,4.73,0.273972602739726,100,0.726027397260274,265,57.76,60.0,4.782375049189587,42.0,62.0,2016-01-04,2017-01-02,365,20.0,0.08279735195965351,173.0,2013-01-03,2016-01-01,350.8208092485549,1095.0,2.0,1093.0,0.15813528336380256,7,0,0,0,0,0,1,0,0,1161.0,30.0,4.357682619647355,0.6666666666666666,0,0,0,0,0,0,0
4948745,2166277,Aliza,2012-04-18,,,1.0,0.0,1.0,1.0,1.0,1.0,West Queen Anne,Queen Anne,47.63241029982899,-122.35721606914028,1,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,Breakfast,""Indoor Fireplace"",Heating,Washer,Dryer,""Smoke Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",90.0,500.0,1700.0,,,1,0.0,3,1125,1,6,36,66,341,8,2015-06-22,2015-08-17,97.0,10.0,9.0,10.0,9.0,10.0,10.0,0,strict,0,0,1,1.22,0.9342465753424658,341,0.06575342465753424,24,90.0,90.0,0.0,90.0,90.0,2016-01-04,2017-01-02,365,0.0,0.0,8.0,2015-06-22,2015-08-17,359.25,195.0,139.0,56.0,0.14035087719298245,15,0,1,1,1,0,1,1,0,1356.0,45.0,0.17316017316017315,0.6666666666666666,0,0,0,0,0,0,0
2493658,5177328,Andrea,2013-02-21,within an hour,0.98,1.0,1.0,6.0,6.0,1.0,1.0,West Queen Anne,Queen Anne,47.63749172022628,-122.3668885909212,1,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,"{TV,Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials}",150.0,1000.0,3000.0,100.0,40.0,1,0.0,2,365,1,6,19,49,324,32,2014-04-27,2015-12-20,97.0,10.0,10.0,10.0,10.0,10.0,9.0,0,strict,1,1,6,1.55,0.8876712328767123,324,0.11232876712328767,41,167.94753086419752,165.5,36.51888302527757,125.0,439.0,2016-01-04,2017-01-02,365,314.0,0.21744221446641426,32.0,2014-04-27,2015-12-20,479.84375,616.0,14.0,602.0,0.05306799336650083,16,0,1,1,1,0,1,1,1,1047.0,37.5,0.8913649025069639,0.6666666666666666,0,0,0,0,0,0,0
